,COLUMN_NAME,TOP_N_VALUES
0,CONTRACT_NUMBER,"[
  [
    ""3166683"",
    52365
  ],
  [
    ""3560589"",
    49186
  ],
  [
    ""3628345"",
    46326
  ],
  [
    ""2064110"",
    43000
  ],
  [
    ""05555555"",
    41658
  ],
  [
    ""3"",
    35973
  ],
  [
    ""4"",
    35571
  ],
  [
    ""3877506"",
    33948
  ],
  [
    ""3894276"",
    33930
  ],
  [
    ""3898086"",
    33262
  ]
]"
1,ORDER_CODE,"[
  [
    ""Generic_18_Generic Triggers - ALL APR-2024"",
    221054
  ],
  [
    ""Generic_18_Generic Triggers - ALL JUL-2024"",
    119284
  ],
  [
    ""Generic_24_Generic Triggers - ALL APR-2024"",
    71430
  ],
  [
    ""28393012"",
    39164
  ],
  [
    ""05555555  2023_08_04"",
    31838
  ],
  [
    ""27794488"",
    30718
  ],
  [
    ""27924360"",
    30355
  ],
  [
    ""28322910"",
    30205
  ],
  [
    ""28405283"",
    30201
  ],
  [
    ""28316457"",
    30201
  ]
]"
2,AMOUNT_UNIT_TYPE,"[
  [
    ""USD"",
    23281564
  ],
  [
    ""EUR"",
    5338286
  ],
  [
    ""JPY"",
    2416882
  ],
  [
    ""GBP"",
    1901328
  ],
  [
    ""AUD"",
    788318
  ],
  [
    ""INR"",
    437488
  ],
  [
    ""BRL"",
    367300
  ],
  [
    ""QUANTITY"",
    265606
  ],
  [
    ""NUMBER"",
    182142
  ],
  [
    ""CAD"",
    121396
  ]
]"
3,EARNING_GROUP,"[
  [
    ""ACV"",
    31193357
  ],
  [
    ""MY2"",
    1502996
  ],
  [
    ""MY3"",
    948586
  ],
  [
    ""Territory ACV"",
    251891
  ],
  [
    ""MY4"",
    223875
  ],
  [
    ""New Logo"",
    152963
  ],
  [
    ""MY5"",
    140434
  ],
  [
    ""CSG Services"",
    125775
  ],
  [
    ""Pooled ACV"",
    125430
  ],
  [
    ""Retail Bookings"",
    61281
  ]
]"
4,SUBCLOUD,"[
  [
    ""AR"",
    10167575
  ],
  [
    ""A"",
    4768070
  ],
  [
    ""TA"",
    4237345
  ],
  [
    ""C"",
    3558181
  ],
  [
    ""O1"",
    2654626
  ],
  [
    ""B"",
    1197852
  ],
  [
    ""B7"",
    1074428
  ],
  [
    ""BC"",
    958743
  ],
  [
    ""S"",
    856277
  ],
  [
    ""P"",
    823664
  ]
]"
5,PAYMENT_CURRENCY,"[
  [
    ""USD"",
    19181322
  ],
  [
    ""EUR"",
    7456830
  ],
  [
    ""GBP"",
    3079084
  ],
  [
    ""CAD"",
    1478546
  ],
  [
    ""JPY"",
    1266398
  ],
  [
    ""AUD"",
    904032
  ],
  [
    ""CHF"",
    472385
  ],
  [
    ""INR"",
    384441
  ],
  [
    ""SGD"",
    226521
  ],
  [
    ""ARS"",
    209807
  ]
]"
6,FORMATTED_EARNING_GROUP,"[
  [
    ""ACV"",
    31193357
  ],
  [
    ""MY2"",
    1502996
  ],
  [
    ""MY3"",
    948586
  ],
  [
    ""Territory ACV"",
    251891
  ],
  [
    ""MY4"",
    223875
  ],
  [
    ""New Logo"",
    152963
  ],
  [
    ""MY5"",
    140434
  ],
  [
    ""CSG Services"",
    125775
  ],
  [
    ""Pooled ACV"",
    125430
  ],
  [
    ""Retail Bookings"",
    61281
  ]
]"
7,POSITION_NAME,"[
  [
    ""100367"",
    1061620
  ],
  [
    ""102876"",
    1045564
  ],
  [
    ""713688"",
    1044668
  ],
  [
    ""734763"",
    993011
  ],
  [
    ""753521"",
    834894
  ],
  [
    ""772471"",
    834689
  ],
  [
    ""102423__1"",
    832381
  ],
  [
    ""720328"",
    519596
  ],
  [
    ""100274__2"",
    419556
  ],
  [
    ""100274"",
    262755
  ]
]"
8,API,"[
  [
    ""PPP1"",
    34867924
  ],
  [
    ""PPP2"",
    347743
  ]
]"
9,COMMISSION_CURRENCY,"[
  [
    ""USD"",
    31004851
  ],
  [
    ""EUR"",
    1935138
  ],
  [
    ""JPY"",
    980649
  ],
  [
    ""GBP"",
    539182
  ],
  [
    ""AUD"",
    449386
  ],
  [
    ""CAD"",
    184406
  ],
  [
    ""BRL"",
    115732
  ],
  [
    ""SGD"",
    1166
  ],
  [
    ""CHF"",
    1048
  ],
  [
    ""INR"",
    932
  ]
]"
10,CONTRACT_START_DATE,"[
  [
    ""2024-02-01"",
    864184
  ],
  [
    ""2035-12-31"",
    681785
  ],
  [
    ""2023-08-01"",
    519270
  ],
  [
    ""2024-01-31"",
    484505
  ],
  [
    ""2024-01-01"",
    470511
  ],
  [
    ""2023-11-01"",
    452670
  ],
  [
    ""2024-02-15"",
    383659
  ],
  [
    ""2023-02-01"",
    347930
  ],
  [
    ""2023-05-01"",
    347409
  ],
  [
    ""2023-07-01"",
    335503
  ]
]"
11,MAN_CALC_REASON_CODE,"[
  [
    ""Man Adj_New contract_ACV_AOV_TCV related"",
    12399
  ],
  [
    ""Man Adj_Non contract based_Other"",
    4524
  ],
  [
    ""Man Adj_Renewals related"",
    163
  ],
  [
    ""Man Calc - Renewals - MS"",
    10
  ],
  [
    ""Man Calc - New Contract - MS"",
    6
  ],
  [
    ""Man Calc - Non Contract - MS"",
    2
  ],
  [
    ""Renewal Advances"",
    2
  ]
]"
